Time,step,pos_x,pos_y,action,reward,episode_reward
2019年11月15日18:01:41,32,1.5,14.166666666666666,3,-10.0,-95.25367431725994
2019年11月15日18:01:48,33,1.5,14.166666666666666,4,-10.0,-105.25367431725994
2019年11月15日18:01:55,34,1.5,14.166666666666666,1,-10.0,-115.25367431725994
2019年11月15日19:11:43,0,0,45,6,-10.0,-10.0
2019年11月15日19:14:41,0,15.833333333333334,54.833333333333336,10,5.635404455646324,5.635404455646324
2019年11月15日19:14:48,1,7.128787994384766,42.833333333333336,0,-18.214906019184326,-12.579501563538003
2019年11月15日19:14:55,2,27.1112060546875,48.03169250488281,0,9.092851816567588,-3.4866497469704143
2019年11月15日19:15:02,3,48.0,48.5,0,10.986369854387362,7.499720107416948
2019年11月15日19:15:08,4,42.666666666666664,41.666666666666664,3,-16.849393229163184,-9.349673121746235
2019年11月15日19:15:13,5,40.51205444335938,20.530340830485027,1,-7.55903377926046,-16.908706901006695
2019年11月15日19:15:20,6,57.81720479329427,9.849462509155273,10,10.636351064171834,-6.272355836834862
2019年11月15日19:15:25,7,32.333333333333336,5.333333333333333,1,-24.692413013964597,-30.96476885079946
2019年11月15日19:15:32,8,31.333333333333332,5.333333333333333,1,-10.0,-40.96476885079946
2019年11月15日19:15:38,9,3.5689655939737954,12.166666666666666,6,-36.44283036311438,-77.40759921391384
2019年11月15日19:15:45,10,3.5689655939737954,12.166666666666666,0,-10.0,-87.40759921391384
2019年11月15日19:15:51,11,3.5689655939737954,12.166666666666666,11,-10.0,-97.40759921391384
2019年11月15日19:15:57,12,3.5689655939737954,12.166666666666666,0,-10.0,-107.40759921391384
2019年11月15日19:16:03,13,3.5689655939737954,12.166666666666666,1,-10.0,-117.40759921391384
2019年11月15日19:16:09,14,3.5689655939737954,12.166666666666666,1,-10.0,-127.40759921391384
