Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:40:46,17,97.16666666666670,8.666666666666670,46,4,-217.74760869816600,1031.3364404726300
2019年11月17日13:40:54,18,118.16666666666700,0.5,47,0,148.1986745306720,1179.5351150033100
2019年11月17日13:41:01,19,115.5,0.5,48,0,-7.687252404765280,1171.8478625985400
2019年11月17日13:41:09,20,129.16666666666700,0.5,46,0,120.02784858518100,1291.8757111837200
2019年11月17日13:41:16,21,132.0,1.5,45,0,45.31674318581000,1337.1924543695300
2019年11月17日13:41:23,22,7.655335108439130,48.55225118001300,42,0,-1198.9952799013700,138.19717446815800
2019年11月17日13:41:29,23,137.33333333333300,0.5,54,1,1203.6592778801600,1341.8564523483200
2019年11月17日13:41:34,24,136.16666666666700,0.5,55,1,-9.17907950201652,1332.6773728463000
2019年11月17日13:41:41,25,149.16666666666700,2.0,34,4,139.58015924129500,1472.2575320876000
2019年11月17日13:41:47,26,145.5,0.5,32,4,29.443748132817500,1501.7012802204100
2019年11月17日13:41:54,27,150.16666666666700,1.0087718963623000,41,4,79.14035792869390,1580.8416381491100
2019年11月17日13:42:00,28,158.83333333333300,0.5,41,4,-49.52274116550410,1531.3188969836000
2019年11月17日13:42:07,29,8.166666666666670,49.5,30,4,-12.290751143813700,1519.028145839790
2019年11月17日13:42:12,30,165.66666666666700,1.5,28,1,1470.3365732224700,2989.3647190622600
2019年11月17日13:42:18,31,166.20531209309900,9.333333333333330,31,4,1503.6275973900900,4492.992316452350
2019年11月17日13:42:26,32,201.16666666666700,14.5,56,0,193.78201754005600,4686.774333992410
2019年11月17日13:42:33,33,225.0,23.0,53,0,255.30893646303900,4942.083270455450
2019年11月17日13:42:39,34,232.66666666666700,18.166666666666700,57,1,56.41473842066450,4998.498008876110
2019年11月17日13:42:45,35,241.16666666666700,22.3000005086263,57,1,1000,5998.498008876110
2019年11月17日13:43:05,0,7.506734212239580,48.31144714355470,58,1,-11.453135152436900,-11.453135152436900
2019年11月17日13:43:11,1,8.20588239034017,49.5,58,1,-11.833420351826200,-23.28655550426310
2019年11月17日13:43:16,2,8.333333333333330,49.666666666666700,55,1,-10.0,-33.28655550426310
2019年11月17日13:43:21,3,8.333333333333330,49.666666666666700,54,1,-10.0,-43.28655550426310
2019年11月17日13:43:27,4,8.333333333333330,49.666666666666700,54,1,-10.0,-53.28655550426310
